datetime,1B-VAV3-DischargeAirflow
2021-08-20 13:30:00,180.0
2021-08-20 13:45:00,142.5
2021-08-20 14:00:00,134.76
2021-08-20 14:15:00,106.87
2021-08-20 14:30:00,106.38
2021-08-20 14:45:00,106.5
2021-08-20 15:00:00,106.29
2021-08-20 15:15:00,107.76
2021-08-20 15:30:00,103.99
2021-08-20 15:45:00,104.27
2021-08-20 16:00:00,104.54
2021-08-20 16:15:00,103.75
2021-08-20 16:30:00,104.73
2021-08-20 16:45:00,99.76
2021-08-20 17:00:00,102.58
2021-08-20 17:15:00,105.9
2021-08-20 17:30:00,106.44
2021-08-20 17:45:00,104.91
2021-08-20 18:00:00,105.75
2021-08-20 18:15:00,97.65
2021-08-20 18:30:00,102.49
2021-08-20 18:45:00,108.67
2021-08-20 19:00:00,110.87
2021-08-20 19:15:00,102.78
2021-08-20 19:30:00,104.27
2021-08-20 19:45:00,106.18
2021-08-20 20:00:00,104.08
2021-08-20 20:15:00,104.97
2021-08-20 20:30:00,103.97
2021-08-20 20:45:00,104.12
2021-08-20 21:00:00,104.71
2021-08-20 21:15:00,104.73
2021-08-20 21:30:00,103.97
2021-08-20 21:45:00,104.6
2021-08-20 22:00:00,103.97
2021-08-20 22:15:00,104.21
2021-08-20 22:30:00,103.51
2021-08-20 22:45:00,104.52
2021-08-20 23:00:00,105.58
2021-08-20 23:15:00,104.49
2021-08-20 23:30:00,105.32
2021-08-20 23:45:00,105.13
2021-08-21 00:00:00,104.45
2021-08-21 00:15:00,106.12
2021-08-21 00:30:00,104.58
2021-08-21 00:45:00,105.69
2021-08-21 01:00:00,105.41
2021-08-21 01:15:00,104.56
2021-08-21 01:30:00,105.19
2021-08-21 01:45:00,105.36
2021-08-21 02:00:00,105.14
2021-08-21 02:15:00,105.41
2021-08-21 02:30:00,105.38
2021-08-21 02:45:00,105.82
2021-08-21 03:00:00,106.4
2021-08-21 03:15:00,105.58
2021-08-21 03:30:00,106.14
2021-08-21 03:45:00,106.33
2021-08-21 04:00:00,105.21
2021-08-21 04:15:00,105.13
2021-08-21 04:30:00,104.67
2021-08-21 04:45:00,106.46
2021-08-21 05:00:00,104.64
2021-08-21 05:15:00,105.32
2021-08-21 05:30:00,104.89
2021-08-21 05:45:00,105.47
2021-08-21 06:00:00,104.78
2021-08-21 06:15:00,105.62
2021-08-21 06:30:00,104.95
2021-08-21 06:45:00,104.63
2021-08-21 07:00:00,105.02
2021-08-21 07:15:00,310.0
2021-08-21 07:30:00,345.0
2021-08-21 07:45:00,228.0
2021-08-21 08:00:00,405.0
2021-08-21 08:15:00,79.95
2021-08-21 08:30:00,98.3
2021-08-21 08:45:00,103.75
2021-08-21 09:00:00,104.75
2021-08-21 09:15:00,106.59
