datetime,1B-Th-Chilled Water
2021-08-18 01:30:00,-5.647269071902088
2021-08-18 01:45:00,-5.460018296472854
2021-08-18 02:00:00,-5.102851201573912
2021-08-18 02:15:00,-4.933308501799856
2021-08-18 02:30:00,-4.869904615385036
2021-08-18 02:45:00,-4.499147906165447
2021-08-18 03:00:00,-4.407412887060017
2021-08-18 03:15:00,-4.132642695182566
2021-08-18 03:30:00,-4.079992142147473
2021-08-18 03:45:00,-3.894166441981088
2021-08-18 04:00:00,-3.78852100624067
2021-08-18 04:15:00,-3.8979715533960495
2021-08-18 04:30:00,
2021-08-18 04:45:00,-3.4464713878256927
2021-08-18 05:00:00,-3.3256619665859875
2021-08-18 05:15:00,-3.247512247082024
2021-08-18 05:30:00,-3.1743777948844443
2021-08-18 05:45:00,-3.120315231766612
2021-08-18 06:00:00,-3.011700598910313
2021-08-18 06:15:00,-2.947081984103082
2021-08-18 06:30:00,-2.839930719889089
2021-08-18 06:45:00,-2.84526457612241
2021-08-18 07:00:00,-2.7732720500125887
2021-08-18 07:15:00,-2.6444019504453022
2021-08-18 07:30:00,-2.630943647223702
2021-08-18 07:45:00,-2.454647901200245
2021-08-18 08:00:00,-2.2380574543709666
2021-08-18 08:15:00,-1.896070550081159
2021-08-18 08:30:00,-1.5688853261908884
2021-08-18 08:45:00,-1.3498463282147968
2021-08-18 09:00:00,-1.1282624117063489
2021-08-18 09:15:00,-0.8709986042964832
2021-08-18 09:30:00,-0.7218223357752926
2021-08-18 09:45:00,-0.5347577698510103
2021-08-18 10:00:00,-0.4837250768957853
2021-08-18 10:15:00,-0.4544729325791912
2021-08-18 10:30:00,-3322.6763596174283
2021-08-18 10:45:00,-2449.6056445043364
2021-08-18 11:00:00,-2279.385700933677
2021-08-18 11:15:00,-1907.5848297979248
2021-08-18 11:30:00,-306.00173807143454
2021-08-18 11:45:00,-2.982683334602911
2021-08-18 12:00:00,-2.3522476254917484
2021-08-18 12:15:00,-2.161260327696753
2021-08-18 12:30:00,-2.204764872713187
2021-08-18 12:45:00,-3975.279092272022
2021-08-18 13:00:00,-4573.913150953039
2021-08-18 13:15:00,-3407.6749549989777
2021-08-18 13:30:00,-2798.2161118438376
2021-08-18 13:45:00,-2422.4445775736817
2021-08-18 14:00:00,-2003.446362030833
2021-08-18 14:15:00,-1498.184883897345
2021-08-18 14:30:00,-1630.1987310356292
2021-08-18 14:45:00,-1267.2277488704217
2021-08-18 15:00:00,-784.0370377272807
2021-08-18 15:15:00,-724.6363891326957
2021-08-18 15:30:00,-555.0566244475974
2021-08-18 15:45:00,-547.7430248612247
2021-08-18 16:00:00,-484.5193771688137
2021-08-18 16:15:00,-517.9990524680242
2021-08-18 16:30:00,-866.4976593207894
2021-08-18 16:45:00,-304.3595421785293
2021-08-18 17:00:00,-1195.2248602776306
2021-08-18 17:15:00,-112.12429717461087
2021-08-18 17:30:00,-1388.4798201169683
2021-08-18 17:45:00,-189.6974159775915
2021-08-18 18:00:00,-906.6251553225974
2021-08-18 18:15:00,-15.278733157882511
2021-08-18 18:30:00,-361.1970624153652
2021-08-18 18:45:00,-1099.9367830134734
2021-08-18 19:00:00,-1582.8601581561095
2021-08-18 19:15:00,-1237.4281660699949
2021-08-18 19:30:00,-1178.357816568154
2021-08-18 19:45:00,-882.4299311653656
2021-08-18 20:00:00,-782.9216112707373
2021-08-18 20:15:00,-585.4334578348943
2021-08-18 20:30:00,-410.0243369617659
2021-08-18 20:45:00,-264.4896994036817
2021-08-18 21:00:00,-124.17095296488829
2021-08-18 21:15:00,-27.668424467122865
2021-08-18 21:30:00,-7.6398622041411475
2021-08-18 21:45:00,-7.269005415898717
2021-08-18 22:00:00,-6.836999305603643
2021-08-18 22:15:00,-6.454009290843876
2021-08-18 22:30:00,-6.055334890114674
2021-08-18 22:45:00,-5.852340112089472
2021-08-18 23:00:00,-5.522895002405967
2021-08-18 23:15:00,-5.227754335894218
