datetime,1A-Th-Chilled Water
2021-08-19 06:15:00,-1466.7342263868838
2021-08-19 06:30:00,-1873.9036815473607
2021-08-19 06:45:00,-1617.9721291285962
2021-08-19 07:00:00,-1532.612808094137
2021-08-19 07:15:00,-1950.7673675645976
2021-08-19 07:30:00,-2398.583916786837
2021-08-19 07:45:00,-2340.754201753082
2021-08-19 08:00:00,-2792.282649395499
2021-08-19 08:15:00,-2399.99144361165
2021-08-19 08:30:00,-2195.039284055832
2021-08-19 08:45:00,-2382.349257612403
2021-08-19 09:00:00,-2099.0470054386938
2021-08-19 09:15:00,-2115.9181620811864
2021-08-19 09:30:00,-1800.8652732689095
2021-08-19 09:45:00,-1477.7733981441295
2021-08-19 10:00:00,-1472.2788263907478
2021-08-19 10:15:00,-1438.5075853964083
2021-08-19 10:30:00,-1573.2341387602137
2021-08-19 10:45:00,-1705.4032561039191
2021-08-19 11:00:00,-1665.8054283159845
2021-08-19 11:15:00,-1660.9021500247477
2021-08-19 11:30:00,-1706.3806698180797
2021-08-19 11:45:00,-1414.059452638625
2021-08-19 12:00:00,-1756.2172180992482
2021-08-19 12:15:00,-1673.7046410117375
2021-08-19 12:30:00,-1914.977540849297
2021-08-19 12:45:00,-1958.2781424516004
2021-08-19 13:00:00,-1961.761134965639
2021-08-19 13:15:00,-1920.9749679182044
2021-08-19 13:30:00,-1909.8474892310944
2021-08-19 13:45:00,-1954.0290216849528
2021-08-19 14:00:00,-1995.9496368689915
2021-08-19 14:15:00,-1611.1210991613375
2021-08-19 14:30:00,-1619.2771238321543
2021-08-19 14:45:00,-1787.282591243999
2021-08-19 15:00:00,-1688.2020723883063
2021-08-19 15:15:00,-1681.2184197955185
2021-08-19 15:30:00,-1819.3987295426143
2021-08-19 15:45:00,-1739.1276512797258
2021-08-19 16:00:00,-1624.4472710303953
2021-08-19 16:15:00,-1600.3491996611156
2021-08-19 16:30:00,-1652.8567942363031
2021-08-19 16:45:00,-1501.4954756955829
2021-08-19 17:00:00,-1512.023419771096
2021-08-19 17:15:00,-1657.3695060287314
2021-08-19 17:30:00,-473.3230577859737
2021-08-19 17:45:00,-721.8477754076915
2021-08-19 18:00:00,-1101.2998989590292
2021-08-19 18:15:00,-1594.9462904761644
2021-08-19 18:30:00,-1371.9772766502408
2021-08-19 18:45:00,-1374.7893971084115
2021-08-19 19:00:00,-1403.2321504015713
2021-08-19 19:15:00,-1448.4499109418573
2021-08-19 19:30:00,-1248.9400023834096
2021-08-19 19:45:00,-0.0899675874105786
2021-08-19 20:00:00,0.273563031705777
2021-08-19 20:15:00,0.2360983833508934
2021-08-19 20:30:00,0.2176528886784111
2021-08-19 20:45:00,0.2001906778605952
