datetime,1B-OAT-1
2021-08-18 12:00:00,20.0733
2021-08-18 12:15:00,20.2749
2021-08-18 12:30:00,20.419
2021-08-18 12:45:00,20.6242
2021-08-18 13:00:00,20.1549
2021-08-18 13:15:00,20.7013
2021-08-18 13:30:00,19.8869
2021-08-18 13:45:00,20.4353
2021-08-18 14:00:00,19.8649
2021-08-18 14:15:00,19.9372
2021-08-18 14:30:00,20.241
2021-08-18 14:45:00,19.103
2021-08-18 15:00:00,20.4317
2021-08-18 15:15:00,20.233
2021-08-18 15:30:00,19.4709
2021-08-18 15:45:00,19.0748
2021-08-18 16:00:00,19.2213
2021-08-18 16:15:00,19.3592
2021-08-18 16:30:00,18.6727
2021-08-18 16:45:00,19.1765
2021-08-18 17:00:00,18.4436
2021-08-18 17:15:00,18.5437
2021-08-18 17:30:00,19.2822
2021-08-18 17:45:00,18.466
2021-08-18 18:00:00,17.2898
2021-08-18 18:15:00,17.3386
2021-08-18 18:30:00,16.2575
2021-08-18 18:45:00,15.7235
2021-08-18 19:00:00,16.5678
2021-08-18 19:15:00,15.2464
2021-08-18 19:30:00,15.4563
2021-08-18 19:45:00,14.9435
2021-08-18 20:00:00,14.8735
2021-08-18 20:15:00,15.4423
2021-08-18 20:30:00,14.5996
2021-08-18 20:45:00,14.4518
2021-08-18 21:00:00,14.8674
2021-08-18 21:15:00,14.0967
2021-08-18 21:30:00,14.5057
2021-08-18 21:45:00,14.6051
2021-08-18 22:00:00,14.5219
2021-08-18 22:15:00,13.2688
2021-08-18 22:30:00,12.5447
2021-08-18 22:45:00,13.7119
2021-08-18 23:00:00,14.1262
2021-08-18 23:15:00,13.8957
2021-08-18 23:30:00,14.0557
2021-08-18 23:45:00,14.0091
2021-08-19 00:00:00,14.065
2021-08-19 00:15:00,13.9708
2021-08-19 00:30:00,14.0307
2021-08-19 00:45:00,14.14
2021-08-19 01:00:00,14.4395
2021-08-19 01:15:00,14.5088
2021-08-19 01:30:00,14.1629
2021-08-19 01:45:00,15.383
2021-08-19 02:00:00,14.8374
2021-08-19 02:15:00,14.9821
2021-08-19 02:30:00,14.846
2021-08-19 02:45:00,15.2337
2021-08-19 03:00:00,14.1709
2021-08-19 03:15:00,14.7981
2021-08-19 03:30:00,15.2008
2021-08-19 03:45:00,14.9664
2021-08-19 04:00:00,14.3272
2021-08-19 04:15:00,15.1982
2021-08-19 04:30:00,14.551
2021-08-19 04:45:00,14.4375
2021-08-19 05:00:00,14.5875
2021-08-19 05:15:00,14.5854
2021-08-19 05:30:00,14.8376
2021-08-19 05:45:00,13.7551
2021-08-19 06:00:00,14.6208
2021-08-19 06:15:00,14.1692
2021-08-19 06:30:00,14.4271
2021-08-19 06:45:00,15.0502
2021-08-19 07:00:00,14.7347
2021-08-19 07:15:00,14.6635
2021-08-19 07:30:00,14.3708
2021-08-19 07:45:00,15.9816
2021-08-19 08:00:00,14.5137
2021-08-19 08:15:00,15.5211
2021-08-19 08:30:00,15.8875
2021-08-19 08:45:00,15.4058
2021-08-19 09:00:00,16.07
2021-08-19 09:15:00,16.2385
2021-08-19 09:30:00,17.0133
2021-08-19 09:45:00,17.0552
2021-08-19 10:00:00,17.9821
2021-08-19 10:15:00,17.6024
2021-08-19 10:30:00,18.1679
2021-08-19 10:45:00,18.3895
2021-08-19 11:00:00,18.619
2021-08-19 11:15:00,19.654
2021-08-19 11:30:00,18.8286
2021-08-19 11:45:00,20.1999
2021-08-19 12:00:00,19.8917
2021-08-19 12:15:00,20.6763
2021-08-19 12:30:00,20.01
2021-08-19 12:45:00,20.5257
2021-08-19 13:00:00,20.1677
2021-08-19 13:15:00,20.7337
2021-08-19 13:30:00,20.9803
2021-08-19 13:45:00,20.9401
2021-08-19 14:00:00,19.542
2021-08-19 14:15:00,20.9748
2021-08-19 14:30:00,19.6971
2021-08-19 14:45:00,20.8026
2021-08-19 15:00:00,21.2226
2021-08-19 15:15:00,21.5775
2021-08-19 15:30:00,20.0732
2021-08-19 15:45:00,19.584
2021-08-19 16:00:00,19.9046
2021-08-19 16:15:00,18.8735
2021-08-19 16:30:00,19.9171
2021-08-19 16:45:00,19.1428
2021-08-19 17:00:00,19.8376
2021-08-19 17:15:00,18.535
2021-08-19 17:30:00,17.9393
2021-08-19 17:45:00,17.5841
2021-08-19 18:00:00,17.6554
2021-08-19 18:15:00,16.3987
2021-08-19 18:30:00,16.3472
2021-08-19 18:45:00,15.576
2021-08-19 19:00:00,16.0318
2021-08-19 19:15:00,15.7984
2021-08-19 19:30:00,15.1757
2021-08-19 19:45:00,14.7508
2021-08-19 20:00:00,14.6283
2021-08-19 20:15:00,15.1298
2021-08-19 20:30:00,14.7632
2021-08-19 20:45:00,14.9154
2021-08-19 21:00:00,14.4445
2021-08-19 21:15:00,14.2743
2021-08-19 21:30:00,14.9451
2021-08-19 21:45:00,14.1788
2021-08-19 22:00:00,14.8386
2021-08-19 22:15:00,14.431
2021-08-19 22:30:00,14.924
2021-08-19 22:45:00,14.4653
2021-08-19 23:00:00,14.1423
2021-08-19 23:15:00,14.1559
2021-08-19 23:30:00,14.2883
2021-08-19 23:45:00,14.5498
2021-08-20 00:00:00,14.7745
2021-08-20 00:15:00,14.6654
2021-08-20 00:30:00,14.1737
2021-08-20 00:45:00,14.7734
2021-08-20 01:00:00,14.2696
2021-08-20 01:15:00,14.9465
2021-08-20 01:30:00,15.1229
2021-08-20 01:45:00,14.9066
2021-08-20 02:00:00,15.1264
2021-08-20 02:15:00,14.7517
2021-08-20 02:30:00,14.9325
2021-08-20 02:45:00,14.4399
2021-08-20 03:00:00,14.4511
2021-08-20 03:15:00,14.3731
2021-08-20 03:30:00,15.0808
2021-08-20 03:45:00,14.7754
2021-08-20 04:00:00,14.7274
2021-08-20 04:15:00,14.4263
2021-08-20 04:30:00,13.6556
2021-08-20 04:45:00,13.9709
2021-08-20 05:00:00,14.5111
2021-08-20 05:15:00,14.4665
2021-08-20 05:30:00,14.4684
2021-08-20 05:45:00,14.2753
2021-08-20 06:00:00,14.3937
2021-08-20 06:15:00,13.7096
2021-08-20 06:30:00,14.8697
2021-08-20 06:45:00,14.7203
2021-08-20 07:00:00,14.6323
2021-08-20 07:15:00,14.5678
2021-08-20 07:30:00,14.6112
2021-08-20 07:45:00,14.0989
2021-08-20 08:00:00,14.8568
2021-08-20 08:15:00,14.3608
2021-08-20 08:30:00,15.0081
2021-08-20 08:45:00,15.269
2021-08-20 09:00:00,15.3832
2021-08-20 09:15:00,15.4587
2021-08-20 09:30:00,16.9828
2021-08-20 09:45:00,16.1099
2021-08-20 10:00:00,16.0395
2021-08-20 10:15:00,16.1064
2021-08-20 10:30:00,16.6973
2021-08-20 10:45:00,16.6142
2021-08-20 11:00:00,16.8758
2021-08-20 11:15:00,17.175
2021-08-20 11:30:00,17.4772
2021-08-20 11:45:00,18.3705
2021-08-20 12:00:00,17.9159
2021-08-20 12:15:00,17.5082
2021-08-20 12:30:00,17.1381
2021-08-20 12:45:00,18.1172
2021-08-20 13:00:00,16.8813
2021-08-20 13:15:00,17.4299
2021-08-20 13:30:00,16.5059
2021-08-20 13:45:00,18.3175
2021-08-20 14:00:00,16.4804
2021-08-20 14:15:00,17.6007
2021-08-20 14:30:00,17.6251
2021-08-20 14:45:00,17.007
2021-08-20 15:00:00,17.2587
2021-08-20 15:15:00,16.8898
2021-08-20 15:30:00,16.467
2021-08-20 15:45:00,16.0061
2021-08-20 16:00:00,15.9814
2021-08-20 16:15:00,15.4388
2021-08-20 16:30:00,15.0951
2021-08-20 16:45:00,15.6514
2021-08-20 17:00:00,15.417
2021-08-20 17:15:00,15.6744
2021-08-20 17:30:00,15.8781
2021-08-20 17:45:00,15.2782
2021-08-20 18:00:00,15.8673
2021-08-20 18:15:00,16.7125
2021-08-20 18:30:00,15.0514
2021-08-20 18:45:00,14.8272
2021-08-20 19:00:00,14.2854
2021-08-20 19:15:00,15.3009
2021-08-20 19:30:00,14.7509
2021-08-20 19:45:00,15.0168
2021-08-20 20:00:00,14.8324
2021-08-20 20:15:00,15.0611
2021-08-20 20:30:00,14.2153
2021-08-20 20:45:00,14.4113
2021-08-20 21:00:00,15.1645
2021-08-20 21:15:00,15.5082
2021-08-20 21:30:00,15.2385
2021-08-20 21:45:00,15.2176
2021-08-20 22:00:00,14.5843
2021-08-20 22:15:00,14.1681
2021-08-20 22:30:00,14.5037
2021-08-20 22:45:00,13.8702
2021-08-20 23:00:00,14.1594
2021-08-20 23:15:00,15.5885
2021-08-20 23:30:00,13.9221
2021-08-20 23:45:00,14.3746
2021-08-21 00:00:00,13.9041
2021-08-21 00:15:00,14.168
2021-08-21 00:30:00,14.8529
2021-08-21 00:45:00,13.8013
2021-08-21 01:00:00,13.7679
2021-08-21 01:15:00,13.6043
2021-08-21 01:30:00,14.1181
2021-08-21 01:45:00,13.9852
2021-08-21 02:00:00,14.3973
2021-08-21 02:15:00,13.6345
2021-08-21 02:30:00,14.0288
2021-08-21 02:45:00,14.1313
2021-08-21 03:00:00,14.4335
2021-08-21 03:15:00,14.6457
2021-08-21 03:30:00,14.8295
2021-08-21 03:45:00,14.6258
2021-08-21 04:00:00,13.8292
2021-08-21 04:15:00,14.0635
2021-08-21 04:30:00,15.0373
2021-08-21 04:45:00,14.1999
2021-08-21 05:00:00,14.1543
2021-08-21 05:15:00,14.4245
2021-08-21 05:30:00,13.9662
2021-08-21 05:45:00,14.7383
2021-08-21 06:00:00,13.9539
2021-08-21 06:15:00,14.6382
2021-08-21 06:30:00,14.6603
2021-08-21 06:45:00,15.2312
2021-08-21 07:00:00,14.4581
2021-08-21 07:15:00,14.2109
2021-08-21 07:30:00,14.4897
2021-08-21 07:45:00,14.4312
2021-08-21 08:00:00,14.1008
2021-08-21 08:15:00,13.7019
2021-08-21 08:30:00,14.9697
2021-08-21 08:45:00,16.3475
2021-08-21 09:00:00,15.5464
2021-08-21 09:15:00,15.3266
2021-08-21 09:30:00,14.8462
2021-08-21 09:45:00,15.2342
2021-08-21 10:00:00,14.8783
2021-08-21 10:15:00,15.6731
2021-08-21 10:30:00,15.3707
2021-08-21 10:45:00,15.2021
2021-08-21 11:00:00,14.3785
2021-08-21 11:15:00,15.2693
2021-08-21 11:30:00,15.012
2021-08-21 11:45:00,15.1347
2021-08-21 12:00:00,15.6892
2021-08-21 12:15:00,14.3781
2021-08-21 12:30:00,14.0129
2021-08-21 12:45:00,14.4485
2021-08-21 13:00:00,14.5855
2021-08-21 13:15:00,15.0009
2021-08-21 13:30:00,15.0462
2021-08-21 13:45:00,15.7968
2021-08-21 14:00:00,16.1582
2021-08-21 14:15:00,14.6415
2021-08-21 14:30:00,14.6339
2021-08-21 14:45:00,15.2613
2021-08-21 15:00:00,16.1669
2021-08-21 15:15:00,15.477
2021-08-21 15:30:00,15.1238
2021-08-21 15:45:00,15.3646
2021-08-21 16:00:00,14.6582
2021-08-21 16:15:00,15.8017
2021-08-21 16:30:00,15.8291
2021-08-21 16:45:00,15.6471
