datetime,1B-El-CHWP
2021-08-16 09:00:00,54.46569124545454
2021-08-16 09:15:00,54.28228808680556
2021-08-16 09:30:00,54.25041226217949
2021-08-16 09:45:00,54.26328817619047
2021-08-16 10:00:00,54.36517086287879
2021-08-16 10:15:00,54.432213222916666
2021-08-16 10:30:00,54.373568239743584
2021-08-16 10:45:00,58.96285601060606
2021-08-16 11:00:00,58.27762044545455
2021-08-16 11:15:00,56.28990428910257
2021-08-16 11:30:00,55.25980772440476
2021-08-16 11:45:00,54.78117771597223
2021-08-16 12:00:00,55.39000610705128
2021-08-16 12:15:00,55.69161973181818
2021-08-16 12:30:00,55.993069526388894
2021-08-16 12:45:00,56.042681040384615
2021-08-16 13:00:00,56.07070500059524
2021-08-16 13:15:00,55.73174279444445
2021-08-16 13:30:00,55.52636549871795
